Sun Sep 23 2018 17:44:49: File ./examples/col-group/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
Sun Sep 23 2018 17:46:41: File ./examples/col-group/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
Sun Sep 23 2018 17:46:54: File ./examples/col-group/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
Wed Sep 26 2018 07:13:47: File ./examples/col-group/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
Thu Sep 27 2018 06:42:19: File ./examples/col-group/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
Thu Sep 27 2018 06:43:19: File ./examples/col-group/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
Thu Sep 27 2018 06:46:16: File ./examples/col-group/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
Thu Sep 27 2018 06:49:36: File ./examples/col-group/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
Thu Sep 27 2018 06:50:41: File ./examples/col-group/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
Thu Sep 27 2018 06:51:15: File ./examples/col-group/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
Thu Sep 27 2018 06:58:34: File ./examples/col-group/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
Thu Sep 27 2018 07:07:05: File ./examples/col-group/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
Thu Sep 27 2018 07:09:37: File ./examples/col-group/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
Thu Sep 27 2018 07:10:10: File ./examples/col-group/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
Thu Sep 27 2018 07:10:41: File ./examples/col-group/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
Fri Sep 28 2018 06:44:52: File ./examples/col-group/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
Fri Sep 28 2018 06:45:31: File ./examples/col-group/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
Fri Sep 28 2018 06:47:33: File ./examples/col-group/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
Fri Sep 28 2018 06:47:44: File ./examples/col-group/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
Fri Sep 28 2018 06:51:59: File ./examples/col-group/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
Fri Sep 28 2018 06:53:46: File ./examples/col-group/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
Fri Sep 28 2018 06:59:48: File ./examples/col-group/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
Fri Sep 28 2018 07:03:27: File ./examples/col-group/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
Fri Sep 28 2018 07:21:13: File ./examples/col-group/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
Fri Sep 28 2018 07:22:16: File ./examples/col-group/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
Sun Sep 30 2018 10:43:42: File ./examples/col-group/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
Sun Sep 30 2018 10:49:32: File ./examples/col-group/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
Sun Sep 30 2018 10:52:18: File ./examples/col-group/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
Sun Sep 30 2018 10:53:55: File ./examples/col-group/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
Sun Sep 30 2018 10:56:05: File ./examples/col-group/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
Sun Sep 30 2018 10:57:39: File ./examples/col-group/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
Sun Sep 30 2018 10:58:06: File ./examples/col-group/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
Sun Sep 30 2018 11:03:00: File ./examples/col-group/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
Sun Sep 30 2018 15:12:29: File ./examples/col-group/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
Sun Sep 30 2018 17:37:47: File ./examples/col-group/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
Mon Oct 01 2018 09:55:55: File ./examples/col-group/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
Mon Oct 01 2018 14:24:00: File ./examples/col-group/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
Mon Oct 01 2018 14:25:38: File ./examples/col-group/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
Tue Oct 02 2018 10:42:39: File ./examples/col-group/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
Tue Oct 02 2018 10:48:08: File ./examples/col-group/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
Tue Oct 02 2018 14:10:10: File ./examples/col-group/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
Wed Oct 03 2018 10:45:22: File ./examples/col-group/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
Thu Oct 04 2018 10:52:02: File ./examples/col-group/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
Thu Oct 04 2018 15:33:24: File ./examples/col-group/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
Tue Oct 09 2018 06:42:02: File ./examples/col-group/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
